i0,learning,3472.0,9218
i0,random,3441.0,1734
i0,online,3355.0,61515
i0,exhaustive,3344.0,507984
i1,learning,5725.0,10031
i1,random,4875.0,3531
i1,online,3470.0,60265
i1,exhaustive,2465.0,658812
i2,learning,3300.0,6468
i2,random,6386.0,343
i2,online,465.0,60781
i2,exhaustive,335.0,434640
i3,learning,70.0,3234
i3,random,580.0,1000
i3,online,27.0,60109
i3,exhaustive,25.0,476046
i4,learning,77.0,3375
i4,random,580.0,890
i4,online,30.0,61937
i4,exhaustive,27.0,472281
i5,learning,69.0,3109
i5,random,573.0,1046
i5,online,25.0,61531
i5,exhaustive,34.0,471703
i6,learning,3073.0,8390
i6,random,9242.0,3656
i6,online,1530.0,61171
i6,exhaustive,1203.0,570500
i7,learning,2885.0,9250
i7,random,9963.0,5828
i7,online,2272.0,60062
i7,exhaustive,2298.0,697281
i8,learning,7083.0,9562
i8,random,11386.0,5312
i8,online,3364.0,60718
i8,exhaustive,3387.0,717000
i9,learning,92197.0,29437
i9,random,72628.0,22062
i9,online,9850.0,62187
i9,exhaustive,10563.0,1375625
i10,learning,3745.0,10078
i10,random,5402.0,1328
i10,online,1758.0,60562
i10,exhaustive,1949.0,634125
i11,learning,2160.0,8218
i11,random,3260.0,406
i11,online,390.0,61656
i11,exhaustive,350.0,431500